gene_symbol,OG,TargetSpecies_Count,Reference_Count
MARCO,OG0004483,NA,NA
MARF1,NA,1,1
MARK2,NA,1,1
MARK4,NA,1,1
MARS2,OG0007271,NA,NA
MARVELD1,OG0009464,NA,NA
MAST4,NA,1,1
MASTL,OG0005384,NA,NA
MAT2B,OG0007630,NA,NA
MATK,OG0011866,NA,NA
MATN1,OG0010648,NA,NA
MATN2,OG0011513,NA,NA
MAU2,OG0004279,NA,NA
MAVS,OG0009632,NA,NA
MAX,OG0005286,NA,NA
MAZ,OG0008198,NA,NA
MB,OG0003046,NA,NA
MB21D1,OG0005029,NA,NA
MBD1,OG0005517,NA,NA
MBD4,OG0010352,1,1
MBD5,OG0006369,NA,NA
MBIP,OG0009811,NA,NA
MBL2,NA,1,1
MBLAC1,OG0011776,NA,NA
MBLAC2,OG0008375,NA,NA
MBOAT4,OG0006984,1,1
MBOAT7,OG0011155,1,1
MBP,OG0005533,NA,NA
MBTPS1,OG0005550,NA,NA
MBTPS2,OG0005978,NA,NA
MC2R,NA,2,3
MCAM,NA,1,1
MCAT,OG0007110,NA,NA
MCC,OG0006561,NA,NA
MCCC1,OG0006021,1,1
MCCC2,OG0009768,1,1
MCEE,OG0007000,NA,NA
MCFD2,OG0004751,NA,NA
MCIDAS,OG0009657,NA,NA
MCL1,OG0003865,NA,NA
MCM10,OG0011520,NA,NA
MCM2,OG0007840,NA,NA
MCM3,OG0005169,NA,NA
MCM3AP,OG0004853,NA,NA
MCM4,OG0008904,NA,NA
MCM5,OG0008417,NA,NA
MCM6,OG0005450,1,1
MCM7,OG0008484,NA,NA
MCM8,OG0009816,NA,NA
MCM9,OG0006989,1,1
MCMBP,OG0010344,NA,NA
MCMDC2,OG0011560,1,1
MCOLN1,NA,1,1
MCPH1,OG0010051,NA,NA
MCRS1,OG0006199,NA,NA
MCTP1,OG0008480,NA,NA
MCTP2,OG0008794,NA,NA
MDC1,OG0007964,NA,NA
MDGA1,OG0012190,NA,NA
MDGA2,OG0005219,NA,NA
MDH1,OG0007230,NA,NA
MDH1B,OG0008214,NA,NA
MDH2,OG0007111,NA,NA
MDM1,OG0004351,NA,NA
MDM2,OG0005635,1,1
MDM4,OG0004785,NA,NA
MDN1,OG0006916,1,1
MDP1,OG0009992,NA,NA
ME1,NA,1,1
ME2,OG0006567,NA,NA
MEA1,OG0005350,NA,NA
MEAF6,OG0007027,NA,NA
MECP2,OG0007021,NA,NA
MECR,OG0004753,NA,NA
MED1,OG0009855,NA,NA
MED10,OG0006149,NA,NA
MED11,OG0011777,NA,NA
MED13,NA,1,1
MED14,OG0005611,NA,NA
MED15,OG0005241,NA,NA
MED16,OG0006137,NA,NA
MED17,OG0011697,NA,NA
MED18,OG0011341,NA,NA
MED19,OG0007995,NA,NA
MED20,OG0008243,NA,NA
MED21,OG0010080,NA,NA
MED22,OG0008039,NA,NA
MED23,OG0010727,NA,NA
MED24,OG0010493,NA,NA
MED26,OG0004749,1,1
MED27,OG0008918,NA,NA
MED28,OG0003909,NA,NA
MED29,OG0008463,NA,NA
MED30,OG0004299,NA,NA
MED31,OG0011677,NA,NA
MED4,OG0006670,NA,NA
MED6,OG0011948,2,2
MED7,OG0004814,NA,NA
MED8,OG0011283,NA,NA
MED9,OG0009552,NA,NA
MEDAG,OG0008715,NA,NA
MEF2B,OG0010881,NA,NA
MEF2BNB,OG0012286,NA,NA
MEF2D,OG0007003,NA,NA
MEGF9,OG0004314,NA,NA
MEI1,OG0004224,NA,NA
MEI4,OG0010926,1,1
MEIG1,OG0008061,NA,NA
MEIKIN,OG0012666,1,1
MEIOB,OG0010783,1,1
MEIOC,NA,1,1
MELK,OG0003937,NA,NA
MEMO1,OG0009112,NA,NA
MEN1,OG0010269,NA,NA
MEOX1,OG0006847,NA,NA
MEOX2,OG0004773,NA,NA
MEP1B,NA,1,1
MEPCE,OG0004668,1,1
MERTK,OG0010398,NA,NA
MESDC1,OG0008665,NA,NA
MESDC2,OG0005218,NA,NA
MEST,OG0006632,NA,NA
MET,OG0007832,NA,NA
METAP1,OG0006503,NA,NA
METAP1D,OG0010253,NA,NA
METAP2,OG0004978,NA,NA
METTL1,OG0011665,NA,NA
METTL10,OG0008981,NA,NA
METTL11B,OG0008459,NA,NA
METTL12,OG0011638,NA,NA
METTL13,OG0009201,NA,NA
METTL14,OG0006123,NA,NA
METTL15,OG0007603,NA,NA
METTL16,OG0008803,NA,NA
METTL17,OG0010189,1,1
METTL18,OG0007195,1,1
METTL20,OG0009906,NA,NA
METTL21A,OG0011085,NA,NA
METTL21B,OG0001765,NA,NA
METTL22,OG0011162,NA,NA
METTL23,OG0008789,NA,NA
METTL25,OG0007250,1,1
METTL27,NA,1,1
METTL3,OG0007044,1,1
METTL4,OG0008253,NA,NA
METTL5,OG0009543,NA,NA
METTL6,OG0010775,NA,NA
METTL8,NA,1,1
METTL9,OG0007634,NA,NA
MEX3A,OG0007127,NA,NA
MFAP1,OG0005184,NA,NA
MFAP2,OG0011764,NA,NA
MFAP4,OG0002383,NA,NA
MFAP5,OG0008172,NA,NA
MFF,OG0006226,1,1
MFHAS1,OG0005899,NA,NA
MFI2,OG0009159,NA,NA
MFN1,NA,1,1
MFRP,OG0009960,1,1
MFSD1,OG0007208,NA,NA
MFSD10,OG0011778,NA,NA
MFSD11,NA,1,1
MFSD12,OG0009133,NA,NA
MFSD2A,NA,1,1
MFSD3,OG0009707,NA,NA
MFSD4,OG0006296,NA,NA
MFSD5,OG0010994,1,1
MFSD6,OG0005585,1,1
MFSD6L,OG0009840,NA,NA
MFSD7,OG0008211,NA,NA
MFSD8,OG0010191,NA,NA
MFSD9,OG0006771,1,1
MGA,OG0005903,NA,NA
MGAM,NA,1,1
MGAM2,NA,1,1
MGAT1,OG0006076,NA,NA
MGAT2,OG0010617,1,1
MGAT3,OG0004799,NA,NA
MGAT5,OG0009289,NA,NA
MGAT5B,OG0004555,NA,NA
MGEA5,OG0005296,NA,NA
MGLL,OG0006297,NA,NA
MGME1,OG0005988,1,1
MGMT,OG0010947,NA,NA
MGP,OG0006036,1,1
MGRN1,OG0009302,NA,NA
MGST1,OG0003782,NA,NA
MGST3,OG0005535,1,1
MIA2,NA,1,1
MIA3,OG0001630,1,1
MIB1,OG0009335,NA,NA
MIB2,OG0005558,NA,NA
MICA,NA,1,1
MICAL1,OG0011114,1,1
MICAL2,NA,1,1
MICB,NA,1,1
MICOS10,NA,1,1
MICU1,OG0006243,NA,NA
MICU2,OG0009801,NA,NA
MICU3,OG0005269,NA,NA
MIDN,OG0008801,NA,NA
MIER1,OG0005487,NA,NA
MIER2,OG0008979,NA,NA
MIER3,OG0004270,NA,NA
MIF,NA,1,1
MIF4GD,OG0004933,1,1
MIIP,OG0011632,NA,NA
MINA,OG0008959,NA,NA
MINPP1,OG0004380,1,1
MIOS,OG0009387,NA,NA
MIOX,OG0011019,NA,NA
MIPEP,OG0004706,NA,NA
MIPOL1,OG0010251,NA,NA
MIR1199,OG0005318,NA,NA
MIS12,OG0005203,NA,NA
MIS18A,OG0006155,NA,NA
MIS18BP1,OG0005638,NA,NA
MISP,NA,1,1
MITD1,OG0008460,NA,NA
MKI67,OG0004070,NA,NA
MKKS,OG0008678,NA,NA
MKLN1,OG0008929,NA,NA
MKRN2,OG0007046,NA,NA
MKRN2OS,OG0009953,NA,NA
MKS1,OG0010548,NA,NA
MKX,OG0005532,NA,NA
MLANA,OG0009975,NA,NA
MLC1,OG0006887,NA,NA
MLEC,OG0009222,1,1
MLF1,OG0008310,1,1
MLF2,OG0011392,NA,NA
MLH1,OG0009440,NA,NA
MLH3,OG0007401,1,1
MLIP,OG0007226,1,1
MLLT4,OG0003926,NA,NA
MLN,OG0010819,NA,NA
MLPH,OG0003784,NA,NA
MLST8,OG0008427,1,1
MLX,OG0006125,NA,NA
MLXIP,OG0006815,NA,NA
MLXIPL,OG0009144,NA,NA
MMAA,OG0005920,NA,NA
MMAB,OG0011069,NA,NA
MMACHC,OG0010004,NA,NA
MMADHC,OG0006002,NA,NA
MME,NA,1,1
MMGT1,OG0003977,NA,NA
MMP11,OG0006656,NA,NA
MMP14,NA,1,1
MMP19,OG0011808,1,1
MMP2,OG0008962,NA,NA
MMP28,OG0010419,NA,NA
MMP7,NA,1,1
MMP8,NA,1,1
MMP9,OG0010225,1,1
MMRN1,OG0012040,NA,NA
MMRN2,OG0006909,1,1
MMS19,OG0006565,1,1
MMS22L,OG0010155,1,1
MN1,OG0007758,NA,NA
MNAT1,OG0011490,NA,NA
MND1,OG0005064,NA,NA
MNS1,OG0007559,NA,NA
MNT,OG0006387,NA,NA
MOB2,OG0005958,NA,NA
MOB4,OG0005896,NA,NA
MOCOS,OG0004817,NA,NA
MOCS1,OG0009926,NA,NA
MOCS2,OG0005248,NA,NA
MOCS3,OG0009379,NA,NA
MOGS,OG0009438,NA,NA
MOK,OG0011736,NA,NA
MON1A,OG0010643,NA,NA
MON1B,OG0006303,NA,NA
MON2,OG0011424,NA,NA
MORC1,NA,1,1
MORC3,OG0003576,1,1
MORC4,NA,1,1
MORN1,OG0012283,NA,NA
MORN2,OG0005808,NA,NA
MORN3,OG0007116,NA,NA
MORN4,OG0009224,NA,NA
MORN5,OG0006900,1,1
MOS,OG0009530,NA,NA
MOSPD2,OG0007803,1,1
MOV10,OG0006714,2,2
MOXD1,OG0007280,NA,NA
MPC2,OG0004001,NA,NA
MPDU1,OG0004833,NA,NA
MPDZ,NA,1,1
MPEG1,NA,2,2
MPG,OG0009267,NA,NA
MPHOSPH10,OG0007094,NA,NA
MPHOSPH6,OG0006208,NA,NA
MPHOSPH8,OG0007419,NA,NA
MPHOSPH9,OG0007962,NA,NA
MPI,OG0010160,NA,NA
MPLKIP,OG0008689,NA,NA
MPND,OG0008490,NA,NA
MPP1,OG0008595,NA,NA
MPP3,OG0006846,NA,NA
MPP4,OG0005861,NA,NA
MPP5,OG0004819,NA,NA
MPP7,OG0009614,1,1
MPPE1,OG0008455,1,1
MPV17,OG0010918,NA,NA
MPV17L2,OG0005980,NA,NA
MPZ,NA,1,1
MPZL2,OG0005289,NA,NA
MPZL3,OG0010123,NA,NA
MRAS,OG0004312,NA,NA
MRC1,OG0002818,1,1
MRC2,OG0007809,NA,NA
MRE11A,OG0011327,NA,NA
MRGBP,OG0008485,NA,NA
MRI1,OG0009269,NA,NA
MRM1,OG0010792,1,1
MROH8,NA,1,1
MROH9,NA,1,1
MRPL1,OG0005080,NA,NA
MRPL10,OG0008612,NA,NA
MRPL11,OG0012264,NA,NA
MRPL12,OG0007445,NA,NA
MRPL13,OG0006219,NA,NA
MRPL14,OG0009284,NA,NA
MRPL15,OG0007828,NA,NA
MRPL16,OG0007180,NA,NA
MRPL17,OG0007023,NA,NA
MRPL18,OG0005919,NA,NA
MRPL19,OG0009983,NA,NA
MRPL2,OG0011607,NA,NA
MRPL20,OG0008029,NA,NA
MRPL21,OG0011130,NA,NA
MRPL22,OG0009763,NA,NA
MRPL23,OG0009743,NA,NA
MRPL24,OG0009250,NA,NA
MRPL27,OG0005727,NA,NA
MRPL28,OG0006180,NA,NA
MRPL3,OG0008905,NA,NA
MRPL32,OG0004949,NA,NA
MRPL34,OG0009622,NA,NA
MRPL35,OG0009256,NA,NA
MRPL37,OG0011192,NA,NA
MRPL38,OG0010805,NA,NA
MRPL39,OG0008438,NA,NA
MRPL4,OG0011325,NA,NA
MRPL40,OG0006785,NA,NA
MRPL41,OG0009793,NA,NA
MRPL42,OG0003983,NA,NA
MRPL43,OG0009757,NA,NA
MRPL44,OG0008599,1,1
MRPL45,OG0005182,NA,NA
MRPL46,OG0011493,NA,NA
MRPL47,OG0008785,1,1
MRPL48,OG0010992,NA,NA
MRPL49,OG0003947,NA,NA
MRPL51,OG0009747,NA,NA
MRPL52,OG0006769,NA,NA
MRPL53,OG0009646,NA,NA
MRPL54,OG0006671,1,1
MRPL55,OG0006215,NA,NA
MRPL57,OG0004485,NA,NA
MRPL9,OG0009909,NA,NA
MRPS10,OG0008842,NA,NA
MRPS11,OG0010435,NA,NA
MRPS12,OG0007596,NA,NA
MRPS14,OG0009796,NA,NA
MRPS15,OG0006057,NA,NA
MRPS16,OG0005175,NA,NA
MRPS17,OG0009679,NA,NA
MRPS18A,OG0006285,NA,NA
MRPS18B,OG0008495,NA,NA
MRPS18C,OG0004979,NA,NA
MRPS2,OG0010196,NA,NA
MRPS21,OG0008089,NA,NA
MRPS22,OG0006710,1,1
MRPS23,OG0008376,NA,NA
MRPS24,OG0010565,NA,NA
MRPS25,OG0010972,NA,NA
MRPS26,OG0009742,NA,NA
MRPS27,OG0008205,NA,NA
MRPS30,OG0009771,NA,NA
MRPS31,OG0007338,NA,NA
MRPS33,OG0003764,NA,NA
MRPS34,OG0010961,1,1
MRPS35,OG0005752,NA,NA
MRPS5,OG0009736,1,1
MRPS7,OG0007121,1,1
MRPS9,OG0011223,NA,NA
MRRF,OG0010678,NA,NA
MRS2,OG0007620,NA,NA
MRTFB,NA,1,1
MRVI1,OG0011430,NA,NA
MS4A13,NA,1,1
MSANTD1,OG0008234,NA,NA
MSANTD2,OG0008839,NA,NA
MSANTD4,OG0007369,NA,NA
MSGN1,OG0012199,NA,NA
MSH2,OG0003615,NA,NA
MSH3,OG0009221,NA,NA
MSH4,OG0004480,1,1
MSH5,OG0006454,NA,NA
MSH6,OG0010717,NA,NA
MSL1,OG0004772,NA,NA
MSL2,OG0006193,NA,NA
MSL3,OG0005577,NA,NA
MSMB,NA,1,1
MSMO1,OG0004176,NA,NA
MSMP,OG0004531,1,1
MSRA,NA,1,1
MSS51,OG0012009,NA,NA
MST1,OG0012129,NA,NA
MST1R,OG0005588,NA,NA
MSTO1,OG0010574,NA,NA
MT-CO1,NA,1,1
MTBP,OG0007797,2,2
MTCL1,OG0009491,NA,NA
MTDH,OG0006255,NA,NA
MTERF1,OG0011856,NA,NA
MTERF2,OG0009658,NA,NA
MTERF4,OG0010964,NA,NA
MTERFD1,OG0008187,NA,NA
MTF1,OG0005271,NA,NA
MTF2,OG0009431,NA,NA
MTFMT,OG0008435,NA,NA
MTFP1,OG0009106,NA,NA
MTFR1,OG0004240,NA,NA
MTFR1L,OG0006573,NA,NA
MTFR2,OG0008802,NA,NA
MTG1,OG0006912,NA,NA
MTG2,OG0008717,NA,NA
MTHFR,OG0008956,NA,NA
MTHFS,OG0005132,NA,NA
MTHFSD,OG0008385,NA,NA
MTIF2,OG0007267,NA,NA
MTIF3,OG0010787,1,1
MTMR10,OG0009294,NA,NA
MTMR11,OG0010624,NA,NA
MTMR12,OG0007673,1,1
MTMR14,OG0010591,NA,NA
MTMR3,NA,1,1
MTNR1A,NA,1,1
MTO1,OG0010242,1,1
MTOR,OG0007474,1,1
MTPAP,OG0009123,1,1
MTPN,OG0009993,NA,NA
MTR,OG0004885,1,1
MTRF1,OG0008432,NA,NA
MTRF1L,OG0008392,NA,NA
MTRR,OG0009023,NA,NA
MTSS1,OG0012231,NA,NA
MTSS1L,OG0005424,NA,NA
MTTP,OG0006521,NA,NA
MTURN,OG0010299,NA,NA
MTUS1,OG0004894,NA,NA
MTUS2,OG0005597,1,1
MTX1,OG0006066,NA,NA
MTX2,OG0010020,NA,NA
MTX3,OG0011877,NA,NA
MUC1,OG0004173,NA,NA
MUC15,OG0006147,1,1
MUC16,NA,1,1
MUC5B,NA,1,1
MURC,OG0004794,NA,NA
MUS81,OG0006201,1,1
MUSK,OG0004166,NA,NA
MUT,OG0010474,NA,NA
MUTYH,OG0009063,NA,NA
MVB12A,OG0010224,1,1
MVB12B,OG0009288,NA,NA
MVD,OG0008516,NA,NA
MVK,OG0009242,1,1
MXRA7,OG0010008,NA,NA
MXRA8,OG0010336,NA,NA
MYADML2,OG0007574,1,1
MYB,NA,1,1
MYBBP1A,OG0009345,1,1
MYBL2,OG0009597,NA,NA
MYBPC1,NA,1,1
MYC,OG0005097,3,3
MYCBP,OG0004556,NA,NA
MYCBP2,OG0007992,NA,NA
MYCBPAP,OG0007582,1,1
MYCL,OG0006602,NA,NA
MYCN,OG0005917,NA,NA
MYCT1,OG0006035,NA,NA
MYD88,OG0010525,NA,NA
MYEF2,OG0007128,NA,NA
MYF5,OG0006819,NA,NA
MYF6,OG0008499,NA,NA
MYH15,NA,1,1
MYH2,NA,2,2
MYH4,NA,1,1
MYH7B,NA,1,1
MYH9,NA,1,1
MYLIP,OG0006160,NA,NA
MYLK,OG0004346,1,1
MYLK2,NA,1,1
MYNN,OG0011372,NA,NA
MYO15A,NA,1,1
MYO16,OG0010675,NA,NA
MYO18B,NA,1,1
MYO19,OG0010734,NA,NA
MYO1D,NA,1,1
MYO3B,NA,1,1
MYO5B,NA,1,1
MYO5C,OG0007201,NA,NA
MYO6,OG0004466,NA,NA
MYO9A,OG0004593,NA,NA
MYO9B,OG0005886,NA,NA
MYOC,OG0008600,NA,NA
MYOCD,OG0008609,NA,NA
MYOD1,OG0007660,NA,NA
MYOG,OG0010265,NA,NA
MYOM1,NA,1,1
MYOM2,NA,1,1
MYOM3,NA,1,1
MYORG,NA,1,1
MYOT,OG0008986,NA,NA
MYOZ1,OG0007029,NA,NA
MYOZ2,OG0004294,NA,NA
MYOZ3,OG0010758,1,1
MYRF,NA,1,1
MYRFL,NA,2,2
MYSM1,OG0006336,NA,NA
MYZAP,OG0007905,NA,NA
MZB1,OG0012430,NA,NA
MZT1,OG0004454,NA,NA
MZT2B,OG0005323,NA,NA
N4BP1,OG0004878,NA,NA
N4BP2,OG0004626,NA,NA
N4BP3,OG0005838,NA,NA
N6AMT1,OG0009083,NA,NA
N6AMT2,OG0008274,NA,NA
NAA20,OG0006396,NA,NA
NAA25,OG0009446,1,1
NAA30,OG0009057,NA,NA
NAA35,OG0006111,NA,NA
NAA38,OG0006905,NA,NA
NAA40,OG0005074,NA,NA
NAA50,OG0003575,NA,NA
NAA60,OG0009202,NA,NA
NAAA,OG0010072,NA,NA
NAALADL1,OG0012180,NA,NA
NAALADL2,NA,1,1
NAB1,OG0005672,1,1
NAB2,OG0010308,NA,NA
NACC1,OG0003853,NA,NA
NACC2,OG0010368,NA,NA
NADK2,OG0010413,NA,NA
NADSYN1,OG0011837,NA,NA
NAE1,OG0006211,NA,NA
NAF1,OG0006234,NA,NA
NAGK,OG0009832,NA,NA
NAGLU,OG0010003,1,1
NAGPA,OG0010494,1,1
NAGS,OG0011168,1,1
NALCN,OG0004337,NA,NA
NAMPT,OG0003355,1,1
NANP,OG0006880,NA,NA
NANS,OG0003747,NA,NA
NAPEPLD,OG0005474,NA,NA
NAPG,OG0006644,NA,NA
NAPRT,OG0008663,NA,NA
NARS,OG0007306,NA,NA
NARS2,OG0010135,NA,NA
NASP,OG0005411,NA,NA
NAT10,OG0010578,NA,NA
NAT14,OG0012294,NA,NA
NAT6,OG0012620,NA,NA
NAT8L,OG0008799,NA,NA
NAT9,OG0008529,1,1
NATD1,OG0004642,1,1
NAV1,OG0005694,1,1
NAV3,NA,1,1
NBAS,OG0004085,1,1
NBEA,NA,1,1
NBEAL1,NA,1,1
NBL1,OG0010293,NA,NA
NBN,OG0009397,2,2
NBN1,NA,1,1
NBR1,OG0004329,1,1
NCAM1,OG0005250,NA,NA
NCAM2,OG0004407,NA,NA
NCAN,OG0007887,NA,NA
NCAPD2,OG0004821,NA,NA
NCAPD3,OG0009303,1,1
NCAPG,OG0004078,NA,NA
NCAPG2,OG0010630,NA,NA
NCAPH,OG0006319,NA,NA
NCAPH2,OG0006353,NA,NA
NCBP1,OG0010311,NA,NA
NCCRP1,OG0010017,NA,NA
NCDN,OG0008543,1,1
NCEH1,OG0007870,1,1
NCF1,OG0008361,NA,NA
NCF4,OG0006163,NA,NA
NCKAP5,OG0011969,1,1
NCKAP5L,OG0006630,NA,NA
NCKIPSD,OG0008482,NA,NA
NCLN,OG0004355,NA,NA
NCMAP,OG0011254,NA,NA
NCOA1,OG0005553,NA,NA
NCOA2,OG0009401,NA,NA
NCOA3,OG0009377,1,1
NCOA4,OG0005652,NA,NA
NCOA5,OG0008504,NA,NA
NCOA6,OG0005755,NA,NA
NCOA7,OG0007868,NA,NA
NCSTN,OG0007399,NA,NA
NDC1,OG0007686,NA,NA
NDC80,OG0003780,NA,NA
NDOR1,OG0011376,NA,NA
NDP,OG0008193,NA,NA
NDRG3,NA,1,1
NDUFA10,OG0006758,NA,NA
NDUFA11,OG0009505,NA,NA
NDUFA12,OG0005512,NA,NA
NDUFA13,OG0010109,NA,NA
NDUFA2,OG0008011,NA,NA
NDUFA4,NA,1,1
NDUFA5,OG0003605,NA,NA
NDUFA6,OG0008265,NA,NA
NDUFA7,OG0006858,NA,NA
NDUFA8,OG0005651,NA,NA
NDUFA9,OG0005196,1,1
NDUFAB1,OG0003980,NA,NA
NDUFAF1,OG0009029,NA,NA
NDUFAF2,OG0007178,NA,NA
NDUFAF3,OG0011902,NA,NA
NDUFAF4,OG0004169,NA,NA
NDUFAF5,OG0009764,NA,NA
NDUFAF6,OG0007438,NA,NA
NDUFAF7,OG0007826,1,1
NDUFB1,OG0009506,NA,NA
NDUFB10,OG0008115,NA,NA
NDUFB2,OG0005098,NA,NA
NDUFB4,OG0003477,NA,NA
NDUFB5,OG0008289,1,1
NDUFB6,OG0007973,NA,NA
NDUFB7,OG0008116,NA,NA
NDUFB8,OG0005087,NA,NA
NDUFB9,OG0009384,NA,NA
NDUFC1,OG0005726,NA,NA
NDUFC2,OG0009892,NA,NA
NDUFS1,OG0005992,NA,NA
NDUFS2,OG0011848,NA,NA
NDUFS3,OG0008653,1,1
NDUFS4,OG0006781,NA,NA
NDUFS5,OG0004534,NA,NA
NDUFS6,OG0005040,NA,NA
NDUFS7,OG0009779,NA,NA
NDUFS8,OG0004697,NA,NA
NDUFV1,OG0007337,NA,NA
NDUFV2,OG0008645,NA,NA
NDUFV3,OG0006813,NA,NA
NEB,OG0007929,1,1
NEBL,OG0012317,1,1
NECAB2,OG0007668,NA,NA
NECAB3,NA,1,1
NECTIN3,NA,1,1
NEDD1,OG0006520,NA,NA
NEDD8,OG0004985,NA,NA
NEDD9,OG0006018,1,1
NEFH,OG0011191,NA,NA
NEFL,OG0006197,NA,NA
NEFM,OG0003427,NA,NA
NEGR1,OG0008395,NA,NA
NEIL1,OG0011399,1,1
NEIL3,OG0006796,1,1
NEK1,OG0006898,NA,NA
NEK10,OG0008086,NA,NA
NEK11,OG0005034,NA,NA
NEK2,OG0008353,NA,NA
NEK3,OG0009117,1,1
NEK4,OG0006407,NA,NA
NEK5,OG0011918,NA,NA
NEK6,NA,1,1
NEK8,OG0010369,NA,NA
NEK9,OG0009426,NA,NA
NELFA,OG0007883,NA,NA
NELFB,OG0010460,NA,NA
NELFCD,OG0007397,NA,NA
NELFE,OG0008551,NA,NA
NEMF,OG0005291,NA,NA
NEMP1,NA,1,1
NENF,OG0010177,NA,NA
NEO1,OG0006317,1,1
NEPRO,NA,1,1
NES,OG0012553,1,1
NET1,OG0007532,2,2
NEU1,OG0009927,NA,NA
NEU2,NA,1,1
NEU3,NA,1,1
NEURL1,OG0008364,NA,NA
NEURL1B,OG0011347,NA,NA
NEURL2,OG0008409,1,1
NEURL3,OG0006849,NA,NA
NEUROD2,OG0007506,NA,NA
NEUROD4,NA,1,1
NEUROD6,OG0007546,NA,NA
NEXN,OG0007939,NA,NA
NF1,OG0004026,1,1
NFAM1,OG0011801,NA,NA
NFASC,OG0005466,NA,NA
NFAT5,OG0005448,NA,NA
NFATC1,OG0004854,NA,NA
NFATC2,OG0005914,1,1
NFATC2IP,OG0008885,NA,NA
NFE2L1,OG0007805,NA,NA
NFE2L2,OG0009547,NA,NA
NFIA,OG0007392,NA,NA
NFIL3,OG0005793,NA,NA
NFIX,OG0004679,NA,NA
NFKB1,OG0005629,NA,NA
NFKB2,OG0006449,NA,NA
NFKBIA,OG0004241,NA,NA
NFKBIB,OG0007548,NA,NA
NFKBIE,OG0005304,NA,NA
NFKBIL1,OG0008532,NA,NA
NFKBIZ,NA,1,1
NFRKB,OG0010651,NA,NA
NFS1,OG0010768,NA,NA
NFX1,OG0009445,NA,NA
NFXL1,OG0008690,NA,NA
NFYA,OG0008078,NA,NA
NFYB,OG0005322,NA,NA
NFYC,OG0006228,NA,NA
NGB,OG0009142,NA,NA
NGDN,OG0009686,2,2
NGEF,OG0006975,NA,NA
NGF,OG0005965,NA,NA
NGLY1,OG0008875,2,2
NHEJ1,OG0009812,NA,NA
NHLRC1,OG0009818,NA,NA
NHLRC2,OG0008817,1,1
NHLRC3,OG0008716,NA,NA
NHP2,OG0008520,NA,NA
NHS,OG0004578,1,1
NHSL1,OG0006479,NA,NA
NHSL2,OG0008065,NA,NA
NICN1,OG0009513,NA,NA
NID1,OG0005566,NA,NA
NID2,OG0005834,2,2
NIF3L1,OG0011719,NA,NA
NIFK,OG0011260,NA,NA
NIM1K,OG0003693,NA,NA
NIN,NA,1,1
NINJ2,NA,1,1
NINL,NA,1,1
NIP7,OG0004225,NA,NA
NIPA1,OG0007339,NA,NA
NIPBL,OG0008055,1,1
NIPSNAP3A,NA,1,1
NISCH,OG0010626,NA,NA
NIT1,OG0011193,NA,NA
NIT2,OG0008008,NA,NA
NKAIN4,NA,1,1
NKD1,OG0008573,NA,NA
NKRF,OG0007093,NA,NA
NKTR,OG0004847,NA,NA
NKX2-2,OG0008280,NA,NA
NKX2-8,OG0009781,NA,NA
NKX3-1,OG0008154,NA,NA
NLE1,OG0009931,NA,NA
NLN,NA,1,1
NLRC3,OG0008164,NA,NA
NLRC5,OG0006856,NA,NA
NLRP14,NA,1,1
NLRPs,NA,1,1
NLRX1,OG0009443,NA,NA
NMB,OG0008235,NA,NA
NMBR,OG0011460,NA,NA
NMD3,OG0010356,1,1
NME5,OG0007682,NA,NA
NME6,OG0011603,NA,NA
NME7,OG0011285,NA,NA
NMI,OG0010538,NA,NA
NMNAT2,OG0007661,NA,NA
NMNAT3,NA,1,1
NMRAL1,NA,1,1
NMU,OG0009724,1,1
NOA1,OG0010147,NA,NA
NOB1,OG0007790,NA,NA
NOBOX,OG0010946,1,1
NOC2L,OG0010372,NA,NA
NOC3L,OG0010620,NA,NA
NOC4L,OG0008414,NA,NA
NOD1,OG0003826,1,1
NOD2,OG0012036,NA,NA
NOL10,OG0005984,NA,NA
NOL11,OG0009234,NA,NA
NOL12,OG0010770,NA,NA
NOL6,OG0006393,NA,NA
NOL7,OG0010450,NA,NA
NOL8,OG0011901,NA,NA
NOL9,OG0010499,1,1
NOLC1,OG0006583,NA,NA
NOM1,OG0007816,NA,NA
NOMO1,OG0007770,NA,NA
NOP14,OG0007714,NA,NA
NOP16,OG0007211,NA,NA
NOP2,OG0011194,NA,NA
NOP56,NA,1,1
NOP58,OG0005315,NA,NA
NOP9,OG0010246,NA,NA
NOS2,OG0008230,1,1
NOS3,NA,1,1
NOSIP,OG0008299,NA,NA
NOSTRIN,OG0012026,NA,NA
NOTCH2,NA,1,1
NOV,OG0011672,NA,NA
NOX1,NA,1,1
NOX4,OG0011287,NA,NA
NOX5,OG0012478,NA,NA
NOXO1,OG0005768,NA,NA
NOXRED1,OG0012011,NA,NA
NPAT,OG0009420,NA,NA
NPC2,OG0005055,NA,NA
NPDC1,OG0006288,NA,NA
NPEPL1,OG0003916,NA,NA
NPEPPS,OG0004879,NA,NA
NPFF,OG0012618,NA,NA
NPFFR2,NA,1,1
NPHP1,OG0005079,NA,NA
NPHP3,OG0009974,NA,NA
NPHP4,OG0005170,NA,NA
NPHS1,OG0008405,1,1
NPL,OG0006942,NA,NA
NPLOC4,OG0011390,NA,NA
NPNT,OG0007730,NA,NA
NPR3,OG0007184,NA,NA
NPRL2,OG0007590,NA,NA
NPRL3,OG0006493,NA,NA
NPVF,OG0012514,NA,NA
